,Spec_int,Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
158,9,170,0.016532314,21.72834551,12.2878917,2264.809657,5.569261991,2676.242872,1582.33116,8357.484771,18638.61853,31.81569629,41.74570048,0.076980808,0.500548505,10.21734614,14.19878985,0.004639151,0.062879828,5.691836442,12.33096255,0.224989364,0.002117061
159,9,172,0.006611636,16.26447937,11.94487746,1817.124367,2.730457158,2159.261682,762.0039719,7977.131387,11025.60797,29.78002627,27.53305564,0.111959435,0.484968832,7.910351528,7.940699054,0.004030326,,7.7903288,7.203125101,0.127429018,0.00474709
160,9,173,0.007847984,13.51578815,11.61473226,2230.123422,3.080824583,1989.5929,1127.347055,6617.467678,13270.20795,21.56323988,22.70744112,0.078805706,0.311325187,8.577565177,9.255862838,0.002702618,,5.128835612,8.105234537,0.146208392,0.00253727
161,9,174,0.010695694,30.12721087,14.92211888,2584.055855,4.784480079,2064.887882,1784.516255,6847.641039,26339.75167,35.36464302,53.32829777,0.07625568,0.449837497,9.434796272,11.82050524,0.006061505,0.164985548,4.44769295,17.14634506,0.134998704,0.005572019
162,9,175,0.016251164,21.7959855,20.53890609,2211.00348,5.101703632,2852.630684,1473.046506,7979.453505,15390.32896,38.34500536,23.67151143,0.140567121,0.486769014,11.61663678,33.75596038,0.006150016,0.104481961,8.507083737,9.375570258,0.137830509,0.007635421
163,9,176,,22.06472139,7.024351598,2173.13028,2.633391189,2421.821731,1873.209727,9228.450721,13480.9651,31.75477669,43.88289949,0.086580159,0.478688925,9.474854354,10.50263302,0.003353831,2.951086808,8.202120176,11.1981963,0.193355515,0.004974302
164,9,177,0.002055561,14.49746184,16.14573939,1880.543719,3.163706084,2887.158229,1815.751747,13475.91751,10169.0179,29.81251645,28.82612238,0.090841455,0.519265784,10.86056767,14.37236939,0.003847328,0.105360151,8.754724736,7.360430698,0.152798075,0.002968642
165,9,178,0.01552623,14.0890046,20.72108355,2368.425243,5.764801344,2441.337088,1358.537898,9554.06875,16465.6449,27.33269784,36.21571118,0.133789686,0.500893201,10.76895591,24.18414658,0.003108535,0.201406374,11.42115237,10.74811477,0.127884911,0.00817315
166,9,179,0.015259615,20.55513927,10.93156966,1896.048471,5.455369745,1909.406495,1315.065794,6758.965236,17364.93446,29.30073035,38.94187352,0.094132591,0.418856453,7.100753402,11.56385113,0.003750679,,7.234692735,10.80098227,0.106484126,0.002988646
167,9,180,0.014677973,26.71670864,5.778634052,2337.723229,4.681868969,1778.197581,939.8040856,5803.979834,18628.13754,33.04586311,70.25374947,0.112524337,0.890618711,8.548077131,8.9332139,0.003870814,0.359843917,7.603666186,11.29241894,0.073602915,0.00167964
