Taxa,PC1,PC2,PC3,PC4,PC5
160_271_035__vDNAlon499A03_F05,-9.1485056E-4,0.032380413,-0.041235242,-0.01070621,-0.018733954
160_271_036__vDNAlon499A03_G05,0.0035644947,-0.022527719,-0.031409856,-0.011885108,-0.018463103
160_271_037__vDNAlon499A03_H05,-0.003446403,-0.003508451,0.0079971915,-0.011545632,0.04191865
160_271_038__vDNAlon499A03_A06,0.0049261693,-0.017699689,-0.0021032698,-0.028765883,0.005034861
160_271_039__vDNAlon499A03_B06,0.003472209,-0.01060096,0.016587647,0.028977476,-0.024489488
160_271_040__vDNAlon499A03_C06,0.0063545443,-0.02157977,-0.049783934,-0.0378921,0.0048099165
160_271_041__vDNAlon499A03_D06,0.0055948873,-0.034310687,-0.009885429,0.03374461,-0.01686211
160_271_042__vDNAlon499A03_E06,-0.0013888598,0.04465149,0.02157272,-0.012266823,-0.01984025
160_271_043__vDNAlon499A03_F06,0.0035807702,-0.02565004,0.031148728,0.032165185,0.017412128
160_271_044__vDNAlon499A03_G06,0.0074612712,-0.008009653,-0.06302543,-0.013255569,0.007445178
160_271_045__vDNAlon499A03_H06,-7.1650016E-4,0.034383465,0.06982679,-0.036000434,-0.007720753
160_271_046__vDNAlon499A03_A07,-0.0027650488,-0.020965977,-0.0023896124,-0.060075037,0.054143663
160_271_047__vDNAlon499A03_B07,0.1587064,-0.14869611,-0.22968727,0.21011002,-0.050693095
160_271_048__vDNAlon499A03_C07,-0.0071910736,0.075527176,0.012432353,0.0032431358,-0.002915915
160_271_049__vDNAlon499A03_D07,-1.675635E-4,-0.025484376,0.011193934,-0.019320097,2.3260074E-4
160_271_050__vDNAlon499A03_E07,-0.0037712513,0.057863362,-0.005059711,-0.0080336025,-0.060896218
160_271_051__vDNAlon499A03_F07,-0.008889409,0.0094653,0.026407655,0.015727319,-0.057473455
160_271_052__vDNAlon499A03_G07,-0.0011851601,-0.037074253,0.01759693,0.020918697,0.0074014785
160_271_053__vDNAlon499A03_H07,-0.00443315,0.008967601,0.028356338,0.042983934,0.031456944
160_271_054__vDNAlon499A03_A08,-0.0039763125,0.020301778,-0.0149883805,0.005471041,-0.009004396
160_271_055__vDNAlon499A03_B08,-0.0042991154,-0.026531087,-0.011080418,0.030234836,0.025876608
160_271_056__vDNAlon499A03_C08,0.0039242604,0.04874614,-0.0487057,0.013666454,0.045626793
160_271_057__vDNAlon499A03_D08,-0.009708563,0.014820942,0.067877315,-0.035993177,-0.021074396
160_271_058__vDNAlon499A03_E08,0.0033335069,-0.0052890223,0.020691415,0.009383248,-0.035658818
160_271_059__vDNAlon499A03_F08,-0.0078790225,0.06497753,0.010804749,-0.007938695,-0.032273777
160_271_060__vDNAlon499A03_G08,0.0012291195,0.069197744,0.0064334515,0.007902538,-0.0069646304
160_271_061__vDNAlon499A03_H08,-0.001634889,0.05552227,-0.03586999,-0.012730301,0.03873134
160_271_062__vDNAlon499A03_A09,0.002140503,-0.032850776,0.032819506,0.06317607,-0.029596826
160_271_063__vDNAlon499A03_B09,-0.0011296539,0.026602242,-0.0072212173,-0.01749015,-0.023067504
160_271_064__vDNAlon499A03_C09,-0.0033787345,-0.049437683,0.04562717,-0.014889884,-0.038873482
160_271_065__vDNAlon499A03_D09,-2.9938982E-4,0.015370192,-0.045867495,-0.0539631,0.018903762
160_271_066__vDNAlon499A03_E09,-0.0027105226,0.021478659,-0.020383798,-0.0049628615,2.7645795E-4
160_271_067__vDNAlon499A03_F09,0.0058976263,0.010729085,-0.039011378,-0.030381419,-0.03758158
160_271_068__vDNAlon499A03_G09,-0.0077499086,-0.003106567,0.03120932,-0.042692173,-0.035697974
160_271_069__vDNAlon499A03_H09,0.0055987723,-0.022090526,-0.0709325,-0.019829724,0.011537093
160_271_070__vDNAlon499A03_A10,-0.008190112,0.012920332,0.0136529775,-0.05348379,-0.0052230037
160_271_071__vDNAlon499A03_B10,-3.240156E-4,-0.04314881,0.012732144,-0.015618505,0.020490333
160_271_072__vDNAlon499A03_C10,-0.0015661805,0.022418099,-0.031146597,-0.03656349,0.03640533
160_271_073__vDNAlon499A03_D10,-0.004208354,-0.016511288,0.021892797,-0.035517953,0.025812477
160_271_074__vDNAlon499A03_E10,-0.0020822624,0.06398718,0.009850951,-0.030717108,-0.024485221
160_271_075__vDNAlon499A03_F10,-0.0017846624,-0.0108182,0.014428102,0.02650596,0.031798556
160_271_076__vDNAlon499A03_G10,0.009955668,-0.050136376,-0.001265156,0.020284766,-0.0015148023
160_271_077__vDNAlon499A03_H10,-0.0027619768,-0.00377741,0.029901119,-0.014947026,-0.029562492
160_271_078__vDNAlon499A03_A11,0.0039592707,-0.057268623,-0.04559097,0.0035665492,0.0025287655
160_271_079__vDNAlon499A03_B11,0.0045510307,0.031033846,0.0059464034,0.035926633,-0.040174738
160_271_080__vDNAlon499A03_C11,-0.0015166772,0.03420408,-0.04585586,-0.014458567,0.026833545
160_271_081__vDNAlon499A03_D11,-0.0056549087,0.023724506,-0.0017734882,0.021859616,0.06617952
160_271_082__vDNAlon499A03_E11,-0.0014771577,0.04523886,0.01680663,-0.004808908,0.035430282
160_271_083__vDNAlon499A03_F11,7.123039E-4,-0.0483896,-0.017919132,-0.005352571,0.04487606
160_271_084__vDNAlon499A03_G11,-0.0061072465,-0.022211432,0.027396448,-0.0013918731,0.044833302
160_271_085__vDNAlon499A03_H11,0.0020847025,0.003094237,-0.041023184,-0.04612127,-0.027173067
160_271_086__vDNAlon499A03_A12,-0.0042497935,0.014941705,0.023305725,0.03175114,-0.0107685
160_271_087__vDNAlon499A03_B12,0.0028811684,0.022597983,-0.030120732,0.014346115,-0.027228538
160_271_088__vDNAlon499A03_C12,-0.0013716358,0.0018279942,-0.042040985,0.04692299,0.026290245
160_271_089__vDNAlon499A03_D12,7.9435784E-5,0.018140785,-0.07786176,-0.029391747,0.022510601
160_271_090__vDNAlon499A03_E12,4.287514E-4,-0.001982642,-0.039391503,-0.021241462,0.0067580626
160_271_091__vDNAlon499A03_F12,-0.0030398408,0.016482184,0.05137489,-0.013657446,0.010140932
160_271_092__vDNAlon499A03_G12,-0.005246047,0.02665831,0.016766999,0.016545065,0.0480741
160_271_093__vDNAlon499A03_H12,-0.0020999818,-0.029783126,0.022638327,-0.0330416,-0.008752953
160_271_094__vDNAlon500A04_A01,-0.007668782,0.020044284,0.06526487,-0.011769454,-0.016615937
160_271_095__vDNAlon500A04_B01,0.0055455924,0.027581923,-0.038733196,1.4035296E-4,-0.0045856372
160_271_096__vDNAlon500A04_C01,0.002273702,-0.020498704,0.0019366847,-0.044174165,0.017872298
160_271_097__vDNAlon500A04_D01,3.976037E-4,-0.021465592,1.908359E-4,-0.053122416,-0.011463699
160_271_098__vDNAlon500A04_E01,-0.0049390895,-0.04985106,3.0169627E-4,-0.011546818,-0.009183261
160_271_099__vDNAlon500A04_F01,-0.0018525558,-0.030217642,0.015680658,-0.020886378,0.026205834
160_271_100__vDNAlon500A04_G01,-0.0019628275,-0.050255142,0.0014393476,-0.018087631,-0.013361904
160_271_101__vDNAlon500A04_H01,0.0033628826,-0.032497,-0.0021950833,0.0022304133,-0.038663846
160_271_102__vDNAlon500A04_A02,0.006677072,-0.032743696,-0.03431456,-0.010388062,0.015100236
160_271_103__vDNAlon500A04_B02,0.0038371934,0.014536838,-0.01741229,0.043693904,-0.012246321
160_271_104__vDNAlon500A04_C02,-0.0028709334,-0.0397248,0.009082049,-0.020868668,0.06258648
160_271_105__vDNAlon500A04_D02,0.0063550104,-0.06746695,-0.005870138,0.018063623,-0.041280918
