leaf_stage,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
1,-0.25027904,0.08378784,-0.29787183,-0.08458563,-0.46938542,0.06897586,0.83706164,-0.9872317,-0.31059176,-1.1501225,-0.7786424,0.13601972,0.22309962,-0.099639595,0.0782601,-0.57754016,-0.886022,-0.7003226,0.054295033
1,-0.45414674,0.26670802,-0.5634563,-0.07317881,-1.2888246,0.067996696,0.70340496,-1.2319608,-0.41713434,-0.9209111,-0.73656034,-0.18302085,-0.29751775,-0.65003616,0.058513172,-0.7877781,-0.9881027,-0.72909445,0.076513045
1,-0.29087195,-0.19570865,-0.45676723,-0.07308437,-1.4832181,0.07086771,-0.58486366,0.6363406,-0.30151722,-0.04428486,-0.5084321,-0.22295633,0.01951079,-0.47762161,0.068766356,-1.1635228,0.87309885,-0.74259174,0.07188904
1,-0.45181823,-0.28882554,0.09012788,-0.09959684,-1.1973095,0.06837356,-0.06904509,-0.6857164,-0.3182135,-0.77264947,-0.6287387,-0.19406866,-0.23442224,-0.29612967,0.059875138,-0.6253044,-0.290204,0.3004396,0.012575968
1,-0.08783379,-0.17940232,1.8560048,-0.041785337,-0.71204966,0.06862582,1.0559211,-0.47676402,-0.19117299,-1.1150678,-0.7656763,0.17330341,0.2557573,0.12425385,0.07087978,-0.57025427,-0.37890524,-0.7987756,0.04261831
1,-0.5065487,0.1273751,-0.6697862,-0.08707184,-0.26778215,0.068766795,0.47129512,-0.85491395,-0.21708737,-0.7273586,-0.42231864,0.07807234,0.6762447,0.7876154,0.069602415,-0.3585988,-0.8882436,-0.7994822,0.17837356
1,-0.09870306,1.6571352,1.1145114,-0.09550142,-0.046135195,0.06958173,0.5520743,-0.40450618,-0.33087087,-0.054677527,-0.18667844,0.004327388,0.59526587,-0.08695353,0.052664954,-0.27714872,-0.30975345,-0.5821064,0.13557304
1,0.022057084,-0.14408655,0.2021627,-0.080613494,-0.17745122,0.072413705,-0.33477774,0.96871746,-0.14905995,0.09367123,-0.043544885,-0.16823637,-0.02431034,-0.46656254,0.06859054,0.34225374,1.0405533,1.7091374,0.03457583
1,0.06106754,0.0439759,-0.7206828,-0.01565317,-0.83880705,0.068706594,0.001847924,-1.0536865,-0.43091848,-0.6861233,-0.52262884,-0.1652947,-0.5034282,-0.5210026,0.05198077,-0.3989642,-0.9608575,-0.6762726,0.07778394
1,-0.3675029,0.49649087,0.7102512,-0.06983779,-0.5813437,0.06999583,0.1533859,-0.1746359,-0.27088577,-0.66417503,-0.66934586,-0.10827486,0.22181512,-0.564944,0.052371416,-0.66220325,0.32079118,-0.8137563,0.050201133
1,-0.15104046,0.42823163,-0.27188653,-0.09633825,-0.44150096,0.07078869,-0.37280962,-0.9394595,-0.2927401,-0.07677356,-0.2638357,-0.24080081,-0.32232538,-0.6745059,0.06275884,-1.1890694,-0.5354524,1.8491094,0.0148498
1,0.1382421,2.4054246,0.43115464,-0.06002179,0.5814535,0.06880613,1.4149735,-0.5632159,-0.14604597,-1.1182777,-0.69754916,-0.16581999,0.17683323,-0.26807332,0.087678775,0.047945384,-0.7666036,-0.7269817,0.13081466
1,0.08264209,-0.26254594,0.06664205,-0.07799052,-0.68713504,0.07078279,-0.28659263,0.16554993,-0.28272456,0.080524564,-0.08037207,-0.16910335,-0.22070038,-0.42814276,0.06680114,-0.92396516,0.70928234,-0.78531516,0.022781897
