IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
483157,4,56.10358634,98.03034656,4903.325295,17.01729326,5010.054197,2656.104428,10528.09317,21870.95774,137.0564655,767.0667991,0.144809817,0.65488042,23.69536903,119.2188852,0.019176931,0.396751082,22.7774493,0.019326829,0.053459619
483145,4,55.28338387,92.31327528,5210.783613,26.63629707,3925.95908,2677.95282,8796.238855,18595.23508,87.66007234,1044.323929,0.312360704,2.525186735,35.29688008,138.6625515,0.023518134,0.37215974,18.49352872,0.031856508,0.04302239
483133,4,54.43037801,145.0895041,7844.05339,37.57434632,4048.320799,3172.954079,7827.97793,33736.31263,113.9448905,1183.798265,0.44892776,1.669742734,41.41984472,365.1503805,0.041637087,0.559537543,37.8196085,0.06709625,0.081736781
483152,4,80.89918393,85.99992669,6693.70269,28.07264369,4581.153811,3338.321768,7072.728432,29056.25807,101.3792568,1181.473898,0.35764796,1.40327877,37.98761106,257.4499538,0.033158425,0.582824234,33.76250822,0.03106931,0.062274718
483163,4,50.48032983,91.00000939,4503.081988,21.08619064,5028.566142,2902.244879,10351.70803,19530.7397,67.02187856,914.0086658,0.287829254,0.518807606,54.9715095,168.9996512,0.022423923,0.873085679,20.35243121,0.20868028,0.041745836
588204,6,122.5749707,65.29599351,3114.572035,15.62325363,2109.00447,2296.744648,6610.752708,30352.81742,95.88439839,667.1775265,0.218890782,0.556229319,26.01148257,96.89297871,0.020126933,1.432406119,41.15522551,0.597189283,0.028126976
588276,6,110.5913038,180.1744395,2292.320633,41.40471664,3779.764334,2371.442286,14597.94237,20033.64569,142.3067002,832.1192899,0.297675129,0.639773338,27.18566633,131.4010865,0.033344367,1.869632833,22.84172386,0.481502758,0.022474868
588440,6,139.2745643,186.0954488,1980.338065,21.25250542,3281.386471,3115.834757,6285.097243,24407.6239,83.59946416,817.6452894,0.275822352,0.672814919,40.14661621,124.7549976,0.022688821,0.731889287,27.03731962,0.671903725,0.05041928
588214,6,148.0350704,101.7002323,3709.939696,24.52707243,2719.728387,3681.799562,9087.856971,29554.05838,118.9293738,847.3857609,0.261327392,0.593354854,21.23353918,152.6758672,0.036150032,3.195506793,32.01311452,0.817596641,0.023403342
588190,6,67.31577211,164.5161469,2857.301765,35.07643431,3474.550363,3787.505037,17864.16381,27909.58161,165.9874177,1023.626925,0.387739367,0.671193927,27.79415876,186.4243123,0.015204982,1.583442388,27.70157432,0.398419301,0.020432747
588273,6,114.8583674,132.0906465,2528.206317,20.9116797,6001.398158,2693.762097,9382.199308,33121.01878,95.68377641,694.7704464,0.216746791,0.430749581,23.11769384,119.23989,0.019426182,0.720567891,37.56952276,0.526104699,0.043000872
588274,6,111.3191025,107.9767378,2782.879275,13.06223568,3879.224388,2612.350524,7398.156351,24971.72562,144.738263,691.3203713,0.236929556,0.780674178,31.06637727,127.1333396,0.00982152,1.039461122,29.13918378,0.401616203,0.032655479
588564,6,53.93679941,116.6796175,5277.987091,22.47635019,8611.070842,4235.529527,8829.886947,23893.1486,117.903591,598.4417634,0.242808639,0.595810851,38.18631538,183.2413073,0.024645979,0.775118468,28.65680876,0.571561457,0.031625628
588345,6,81.90041835,63.7630028,3636.386764,35.48921408,3627.333819,4921.829167,28884.81865,17236.59623,134.743528,914.458323,0.297924962,0.855499261,27.74004004,144.6565923,0.034748452,6.000413443,21.42063155,0.929610206,0.030785812
483169,6,50.77651492,40.89828937,5100.436821,16.8897629,6108.483102,2257.843638,12987.71018,32836.06904,119.0802947,528.5185311,0.17777214,0.48200899,26.88109962,119.063066,0.021521909,1.664212441,46.1552186,0.365207377,0.020118576
588271,6,61.1630441,81.93189354,2294.98272,15.16445404,3078.198773,2915.653243,11346.90647,20090.82464,95.9234198,613.6807776,0.184152786,0.419813997,24.44431885,137.8160965,0.004352386,1.258131051,20.54506716,0.345085655,0.019536178
483171,6,78.06161686,76.2402285,2897.160209,25.59262609,6557.075965,2530.660273,11082.69959,31024.31684,89.7626003,680.6633156,0.193303653,0.538528688,21.35169346,139.73631,0.023327711,0.572989518,37.39791438,0.592879596,0.054840015
588435,6,84.36197291,91.08218558,2847.302683,22.25749013,3486.260008,3564.666615,9447.240875,22533.996,117.2988115,1048.512999,0.372265903,0.877717489,23.65395278,169.329288,0.021018802,1.655773568,26.7632761,0.381815762,0.036217651
588562,6,88.08962127,79.25094469,2365.171434,12.64064971,4511.439311,2337.8721,19816.82692,20683.847,78.56716844,440.3670807,0.150164992,0.298082196,27.2186305,105.1457839,0.01579458,2.884317277,25.23230669,0.515764414,0.034701999
255189,6,111.5382232,112.3675639,3852.040482,29.31821643,5365.825048,3446.050717,9077.120158,26099.36271,128.3555975,1207.902227,0.300807093,0.773207093,26.55151942,161.5516062,0.032193833,0.842591836,28.40124433,0.57804183,0.031915287
588456,6,69.4483415,44.77765519,1895.906992,13.66799985,2816.047386,1841.520226,9853.681996,11965.06456,68.867402,379.7424758,0.167702544,0.704794586,25.6620524,61.83960351,0.016201768,0.834109965,12.28661023,0.523527206,0.029098968
588353,6,112.138724,166.0993593,4152.532404,24.88789715,6373.099491,3374.608847,6800.133674,32201.35114,112.9655938,1146.853539,0.375908546,0.723754534,37.00302512,222.3153165,0.027954976,0.619352037,34.17127896,0.600749899,0.044806462
588439,6,86.18135293,76.11979573,1623.375076,13.02733919,2817.685772,2674.47864,10618.97364,19335.7209,74.95481547,783.2188694,0.231176741,0.507279633,20.95465153,103.4952497,0.016791582,1.415637555,20.22300691,0.554844171,0.026514097
483168,6,58.3698783,60.51283282,3221.993025,11.54284651,2688.347157,1761.775018,12010.04976,25350.33616,121.3461869,602.4378348,0.270722029,0.645893241,25.43928675,100.3306699,0.012523187,1.982879396,29.11952565,0.32549918,0.035020581
483177,6,110.5209219,93.47842959,3291.484187,17.21133063,6854.062952,3976.861135,7181.669961,33404.15177,103.3715011,732.2446928,0.259954779,0.66339785,77.93729753,114.5386005,0.021184316,2.00733617,42.89360723,0.914196116,0.030002521
