Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
E_88,-0.354424624,-0.945664825,-0.097051915,-1.514050662,-0.244684943,0.406838701,-0.390846618,2.476747713,-1.673440688,-0.572330238,-1.115524758,-0.986694553,-0.983994165,0.251886761,-0.563329058,-0.440242366,0.758980464,-1.745060959,-0.096017706,-0.244805963
E_176,-0.810497354,0.712033619,-0.325218533,-0.331726049,-0.473710179,0.2411582,1.653731926,0.872111132,-0.724307453,-0.076680967,0.103154243,-0.632545398,-0.30024378,0.279253033,-0.911573617,-0.609692918,0.763104964,-0.038506248,0.708561591,-0.169526443
E_69,-0.305562659,1.291713184,-0.414224888,-0.333267055,-0.356567396,-0.951534339,-0.319105375,-0.788923509,0.905558393,-0.313671035,-0.290426864,0.137153371,0.259591282,0.055001097,2.11716974,-0.524824014,-1.181530338,0.574765247,0.339307987,2.985688484
E_72,-0.102691445,1.657856304,-0.21587751,-0.548605097,-0.06171387,-0.560364281,-0.131523943,-0.490878672,1.267071053,0.313627303,1.223713187,0.39041073,0.411779651,0.371036347,1.264807608,0.797582449,-0.910181893,0.481713314,-0.393617302,-0.160339757
E_80,-0.423803556,-0.303946687,-0.374325305,-1.18872823,-0.434783545,0.819463448,-0.209706758,-0.089085392,-0.506076984,-0.399839403,-0.761828643,-0.106628621,-0.664913359,-0.0923714,0.619794494,-0.167105407,-0.572016573,-0.592940216,1.122244296,-0.201841245
E_95,-0.492404338,-0.981572961,-0.434300427,-1.009730436,-0.413429509,-0.313259868,-1.138593302,-0.315283693,0.058753279,-0.437550158,-0.292525006,-1.130075317,-1.173766492,0.454424674,-1.003536818,-0.642643482,-0.584997566,-0.051964543,-0.109896543,-0.178063795
E_94,-0.28841096,-0.134530731,-0.218846883,-0.961714674,-0.275187394,1.451933508,0.585933513,0.356714368,-0.06264514,-0.276167849,-0.034219717,-0.684325049,0.665307672,2.42448608,0.920398626,-0.631528361,-0.78186818,-0.507652207,1.251076659,-0.20995002
E_126,-0.548168869,0.334672042,0.077613629,0.015814875,-0.431513113,1.877193509,0.069598165,3.234129852,-0.76148637,-0.6390421,-0.883359756,-0.456816191,-0.788578996,3.64201578,-0.350888617,-0.928274807,3.200485616,-0.304061945,-0.340221587,-0.215317063
E_130,-0.731583158,-0.763962454,-0.293909001,-0.795132559,-0.413825657,-0.927268018,0.492825848,0.623521933,-1.185498175,-0.49001407,-0.606568428,-0.214903842,-0.60053069,-0.949033434,0.019715892,-0.365574062,0.638765216,-0.859280582,-1.026124626,-0.2054172
E_184,-0.231764102,-0.391060463,-0.050459882,-0.61321967,-0.398906808,0.582101478,0.472551883,0.64685401,-0.171810699,-0.177069231,-0.711958954,-0.849310507,-0.207300792,0.731729502,-0.109430528,-0.672965386,0.229925932,-0.395756101,-0.121148793,-0.144321301
E_123,-0.471650965,-1.319521643,-0.078141661,-1.300585759,-0.481485657,0.05529632,0.247223966,0.094653604,-1.475959454,-0.673558652,-1.099810117,-0.697201621,-0.840191618,-0.661844129,-0.324274163,-1.01936912,0.210754769,-1.589883496,0.152451359,-0.078907962
E_164,-0.486142007,-1.037688029,-0.056796876,-0.833881331,-0.448043446,-0.428201461,-1.818471313,0.029109906,-0.938836877,-0.501374076,-0.714381339,-0.477224541,-0.636834247,-0.818090988,-0.299619731,-0.274296763,-0.059231699,-1.257579054,0.303583696,-0.172207912
E_172,-0.497416739,-0.59366539,-0.006932437,-0.953304274,-0.462962802,-0.409401106,-1.6636119,0.154900304,-1.192810594,-0.180962373,-0.600664468,-0.23969362,-0.274333563,-0.825337162,-1.2560576,-0.471381062,0.618963463,-1.0268545,-0.736017013,-0.176927675
E_106,-0.474261342,-1.297957317,-0.091297269,-0.740129572,-0.450884863,1.556477408,0.913304392,2.926693242,-1.485520424,-0.741850617,-1.066202536,-0.171152775,-0.712195585,1.604053163,0.182514506,-0.93461287,1.338984387,-1.032411568,-0.252135189,-0.184991953
E_104,-0.465108857,-0.969333556,-0.161293813,-1.111515187,-0.445453432,0.552020973,-0.622055622,1.055994228,-1.19562943,-0.736703137,-1.101517275,0.492337035,-0.396827203,0.338234689,1.487340286,-0.903765724,1.919737235,-0.580851854,-1.120985303,-0.063395512
E_04,0.189571327,-0.942890572,-0.116439802,-1.563450241,0.124484858,-0.033290477,-0.836388565,0.148676927,-0.590447485,0.313014727,-0.207568607,1.193086106,0.015846613,-0.50143163,0.944314764,-0.107112784,-0.501344438,-0.575910959,0.003575603,-0.128398222
E_20,-0.209894439,1.754688847,-0.291047324,0.642413795,-0.201735093,-0.501309048,-0.793398675,-1.162967064,1.064138307,-0.081501921,0.254489278,0.212969984,0.150895693,-0.11442838,-0.715012359,-0.429508142,-0.697362912,1.041215507,0.144615972,-0.162064232
E_148,-0.429520476,-0.883295107,-0.397859785,-1.178240744,-0.426751234,-0.966927757,-0.737072904,-0.526877328,-0.62071461,-0.501395356,-0.803419357,-0.687680948,0.330295701,-1.347208468,0.457451778,-0.593225814,-0.613553612,-1.071255274,0.516836674,-0.187044872
E_147,-0.396664646,-0.571717711,-0.24496195,-0.179140468,-0.409066685,-0.379729209,-1.313884618,1.009978258,-0.889139704,-0.334300141,-0.895087189,-0.475992007,-0.645645337,-0.524328632,-0.985735876,-0.550714385,4.339477505,-0.598356187,-1.002236561,-0.260021891
E_65,-0.384360508,-0.359713906,-0.136000371,-0.143687164,-0.327211542,1.143899347,-0.319147365,0.897788475,-0.684188344,-0.467302281,-0.656493954,-0.659809254,-0.797297856,0.694695056,-0.590265348,-0.633076893,-0.053249376,-0.464037806,2.178448353,-0.113172229
E_32,0.597040865,-0.329798267,-0.046595014,-0.424450183,0.52154093,1.443876305,-0.083852386,0.30948542,0.572024464,0.416754007,1.698352084,0.941007491,0.137894781,0.533400443,0.159817876,0.225302233,-1.143464991,0.6570794,0.942185897,-0.104086719
E_203,0.955207203,-0.345662181,-0.363644698,-0.085901989,1.542884989,0.032915686,1.783745585,1.023013485,-0.488898729,1.412964854,-0.025689405,0.665143639,0.494825986,0.400418942,-0.726939024,0.725115292,-0.018521461,0.061378701,-0.158944553,-0.105212937
E_07,-0.15334156,-0.917425486,-0.367588762,-0.830648382,-0.088171351,-1.029971154,-0.315363179,-0.909238577,0.043872204,-0.124661565,1.136883619,1.635490166,0.56215946,-0.768666258,-0.68362084,-0.399359615,-1.177742201,-0.524023262,-0.462419797,-0.178007605
E_180,-0.118381198,1.759247705,-0.405798248,-0.044350504,-0.246897789,-1.353584342,-1.132815415,-1.090671295,0.257817073,-0.008502069,1.238351485,-0.23094937,1.399333969,-0.375082016,-1.122601597,-0.503993869,0.553624966,-0.01519633,-1.915452298,-0.276847175
